City,Latitude,Longitude
Pardubice,50.04075,15.77659
Berlin,52.52,13.405
Paris,48.8566,2.3522
Madrid,40.4168,-3.7038
Rome,41.9028,12.4964
London,51.5074,-0.1278
Athens,37.9838,23.7275
Vienna,48.2082,16.3738
Moscow,55.7558,37.6173
Stockholm,59.3293,18.0686
Warsaw,52.2297,21.0122
Oslo,59.9139,10.7522
Lisbon,38.7223,-9.1393
Copenhagen,55.6761,12.5683
Dublin,53.3498,-6.2603
Brussels,50.8503,4.3517
Amsterdam,52.3676,4.9041
Budapest,47.4979,19.0402
Prague,50.0755,14.4378
Bratislava,48.1486,17.1077
Ljubljana,46.0569,14.5058
Zagreb,45.815,15.9819
Helsinki,60.1695,24.9354
Riga,56.9496,24.1052
Tallinn,59.437,24.7536
Vilnius,54.6872,25.2798
Bucharest,44.4268,26.1025
Sofia,42.6977,23.3219
Belgrade,44.7866,20.4489
Skopje,41.9973,21.428
